Question;Answer 1;Answer 2;CA 1;CA 2;CA 3;CA 4;CA 5;Level;Category;Confirmed;Photo Id;Photo Url
AEK - PAOK Greek Cup Final 17/18 0 - 2;Biseswar;Shakhov;Biseswar;.;.;.;.;Hard;Who Is Missing;TRUE;AEKvsPAOKcupfinal17_18_eoquwo;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682615/Questions/Who_Is_Missing/AEKvsPAOKcupfinal17_18_eoquwo.png
AEK - Olympiacos Greek Cup Final 19/20 0 - 1;Fortounis;Valbuena;Valbuena;.;.;.;.;Hard;Who Is Missing;TRUE;AEKvsOLYcupfinal19_20_mr8a2c;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682476/Questions/Who_Is_Missing/AEKvsOLYcupfinal19_20_mr8a2c.png
AEK - PAOK Greek Cup Final 22/23 2 - 0;Pineda;Mantalos;Pineda;.;.;.;.;Hard;Who Is Missing;TRUE;AEKvsPAOKfinal22_23_kawjdu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682655/Questions/Who_Is_Missing/AEKvsPAOKfinal22_23_kawjdu.png
Barcelona - Liverpool Champions League Semi-final 18/19 3 - 0;Lenglet;Umtiti;Lenglet;.;.;.;.;Hard;Who Is Missing;TRUE;BFCvsLFC18_19_ltfdr8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682935/Questions/Who_Is_Missing/BFCvsLFC18_19_ltfdr8.png
Chelsea - Arsenal Europa League Final 18/19 4 - 1;Pedro;Willian;Pedro;.;.;.;.;Hard;Who Is Missing;TRUE;CHEvsARS18_19EUL_yfbdl2;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682965/Questions/Who_Is_Missing/CHEvsARS18_19EUL_yfbdl2.png
Dortmund - Bayern Champions League Final 12/13 1 - 2;Subotic;Santana;Subotic;.;.;.;.;Hard;Who Is Missing;TRUE;DORvsBAYCLfinal12_13_omgtav;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683051/Questions/Who_Is_Missing/DORvsBAYCLfinal12_13_omgtav.png
Germany - Argentina World Cup Final 13/14 0 - 1;Di Maria;Lavezzi;Lavezzi;.;.;.;.;Hard;Who Is Missing;TRUE;GERvsARG_13_14final_uiknl4;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683243/Questions/Who_Is_Missing/GERvsARG_13_14final_uiknl4.png
Germany - Spain World Cup Semi-final 09/10 0 - 1;Podolski;Marko Marin;Podolski;.;.;.;.;Hard;Who Is Missing;TRUE;GERvsSPA09_10mudial_mlpjtb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683404/Questions/Who_Is_Missing/GERvsSPA09_10mudial_mlpjtb.png
Greece - Costa Rica World Cup Quarter-final 13/14 1 - 1;Maniatis;Katsouranis;Maniatis;.;.;.;.;Hard;Who Is Missing;TRUE;GREvsCOST13_14_dvboxl;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683523/Questions/Who_Is_Missing/GREvsCOST13_14_dvboxl.png
Spain - England Euro Final 23/24 2 - 1;Trippier;Guehi;Guehi;.;.;.;.;Hard;Who Is Missing;TRUE;ENGvsSPA_wo7iln;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683554/Questions/Who_Is_Missing/ENGvsSPA_wo7iln.png
Juventus - Barcelona Champions League Final 14/15 1 - 3;Tevez;"Llorente	";Tevez;.;.;.;.;Hard;Who Is Missing;TRUE;BARvsJUVECLfinal14_15_ibrulb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682857/Questions/Who_Is_Missing/BARvsJUVECLfinal14_15_ibrulb.png
Manchester City - Inter Champions League Final 22/23 1-0;Acebri;de Vrij;Acebri;.;.;.;.;Hard;Who Is Missing;TRUE;MCvsInterfinal22_23_k9newz;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683613/Questions/Who_Is_Missing/MCvsInterfinal22_23_k9newz.png
Argentina - France World Cup Final 21/22 3 - 3;Montil;Molina;Molina;.;.;.;.;Hard;Who Is Missing;TRUE;FRAvsARGMudialfinal21_22_iuqdxv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683070/Questions/Who_Is_Missing/FRAvsARGMudialfinal21_22_iuqdxv.png
Olympiacos - PAOK Greek Cup Final 20/21 1 - 2;Masouras;Fortounis;Masouras;.;.;.;.;Hard;Who Is Missing;TRUE;OLYvsPAOKcupfinal20_21_kbnbcj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683642/Questions/Who_Is_Missing/OLYvsPAOKcupfinal20_21_kbnbcj.png
PAO - PAOK Greek Cup Final 21/22 1 - 0;Villafanez;Kourbelis;Villafanez;.;.;.;.;Hard;Who Is Missing;TRUE;PAOvsPAOK21_22final_xzvnuj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683687/Questions/Who_Is_Missing/PAOvsPAOK21_22final_xzvnuj.png
Portugal - France EURO Final 15/16 1 - 0;Matuidi;Kante;Matuidi;.;.;.;.;Hard;Who Is Missing;TRUE;PORvsFRA15_16euro_tvk8x8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683702/Questions/Who_Is_Missing/PORvsFRA15_16euro_tvk8x8.png
Portugal - Wales EURO Semi-Final 15/16 2 - 0;Pepe;Bruno Alves;Bruno Alves;.;.;.;.;Hard;Who Is Missing;TRUE;PORvsWALLESeuro15_16_gs5dpp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683725/Questions/Who_Is_Missing/PORvsWALLESeuro15_16_gs5dpp.png
Spain - Italy EURO Final 11/12 4 - 0;Cassano;Di Natale;Cassano;.;.;.;.;Hard;Who Is Missing;TRUE;SPAvsITAeuro11_12final_bvnj15;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683748/Questions/Who_Is_Missing/SPAvsITAeuro11_12final_bvnj15.png
Villareal - Manchester United Europa League Final 20/21 ;Bailly;Lindelof ;Lindelof ;.;.;.;.;Hard;Who Is Missing;TRUE;VREALvsMANU_20_21EUL_final_wg2bq0;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683786/Questions/Who_Is_Missing/VREALvsMANU_20_21EUL_final_wg2bq0.png
Which team's logo is this?;Athletic Bilbao;Atletico Madrid;Athletic Bilbao;.;.;.;.;Easy;Logo Quiz;TRUE;logo1_utaaw3;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684517/Questions/Logo%20Quiz/Easy/logo1_utaaw3.png
Which team's logo is this?;Rosario Central;Boca Juniors;Boca Juniors;.;.;.;.;Easy;Logo Quiz;TRUE;logo2_mjtm8w;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684518/Questions/Logo%20Quiz/Easy/logo2_mjtm8w.png
Which team's logo is this?;Brentford;Sheffield United;Brentford;.;.;.;.;Easy;Logo Quiz;TRUE;logo3_yungwf;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684519/Questions/Logo%20Quiz/Easy/logo3_yungwf.png
Which team's logo is this?;Rangers;Espanyol;Espanyol;.;.;.;.;Easy;Logo Quiz;TRUE;logo4_f9fzt0;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684520/Questions/Logo%20Quiz/Easy/logo4_f9fzt0.png
Which team's logo is this?;Fenerbahce;Ankaragucu;Fenerbahce;.;.;.;.;Easy;Logo Quiz;TRUE;logo5_qo1vkx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684521/Questions/Logo%20Quiz/Easy/logo5_qo1vkx.png
Which team's logo is this?;Austria Wien;Fiorentina;Fiorentina;.;.;.;.;Easy;Logo Quiz;TRUE;logo6_mzz9gv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684494/Questions/Logo%20Quiz/Easy/logo6_mzz9gv.png
Which team's logo is this?;Fulham;Guimaraes;Fulham;.;.;.;.;Easy;Logo Quiz;TRUE;logo7_k0dbby;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684495/Questions/Logo%20Quiz/Easy/logo7_k0dbby.png
Which team's logo is this?;Genk;Gent;Gent;.;.;.;.;Easy;Logo Quiz;TRUE;logo8_en7bzp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684495/Questions/Logo%20Quiz/Easy/logo8_en7bzp.png
Which team's logo is this?;Inter Miami;Inter Milan;Inter Miami;.;.;.;.;Easy;Logo Quiz;TRUE;logo9_cxgh4n;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684508/Questions/Logo%20Quiz/Easy/logo9_cxgh4n.png
Which team's logo is this?;Red Star;Larisa;Larisa;.;.;.;.;Easy;Logo Quiz;TRUE;logo10_u6tjqh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684509/Questions/Logo%20Quiz/Easy/logo10_u6tjqh.png
Which team's logo is this?;Monaco;Red Star;Monaco;.;.;.;.;Easy;Logo Quiz;TRUE;logo11_dcqwfu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684509/Questions/Logo%20Quiz/Easy/logo11_dcqwfu.png
Which team's logo is this?;Real Zaragoza;PSV;PSV;.;.;.;.;Easy;Logo Quiz;TRUE;logo12_vbronu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684510/Questions/Logo%20Quiz/Easy/logo12_vbronu.png
Which team's logo is this?;Rangers;Espanyol;Rangers;.;.;.;.;Easy;Logo Quiz;TRUE;logo13_nkslnx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684511/Questions/Logo%20Quiz/Easy/logo13_nkslnx.png
Which team's logo is this?;Monaco;Red Star;Red Star;.;.;.;.;Easy;Logo Quiz;TRUE;logo14_ufp164;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684511/Questions/Logo%20Quiz/Easy/logo14_ufp164.png
Which team's logo is this?;Slovan Bratislava;Banik Ostrava;Slovan Bratislava;.;.;.;.;Easy;Logo Quiz;TRUE;logo15_bqj9if;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684512/Questions/Logo%20Quiz/Easy/logo15_bqj9if.png
Which team's logo is this?;Slavia Prague;Sparta Prague;Sparta Prague;.;.;.;.;Easy;Logo Quiz;TRUE;logo16_mphzk5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684513/Questions/Logo%20Quiz/Easy/logo16_mphzk5.png
Which team's logo is this?;Stoke;Sunderland;Stoke;.;.;.;.;Easy;Logo Quiz;TRUE;logo17_oqohth;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684514/Questions/Logo%20Quiz/Easy/logo17_oqohth.png
Which team's logo is this?;Ipswich;Twente;Twente;.;.;.;.;Easy;Logo Quiz;TRUE;logo18_qfmlpj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684515/Questions/Logo%20Quiz/Easy/logo18_qfmlpj.png
Which team's logo is this?;West Ham;Aston Villa;West Ham;.;.;.;.;Easy;Logo Quiz;TRUE;logo19_mbl8op;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684516/Questions/Logo%20Quiz/Easy/logo19_mbl8op.png
Which team's logo is this?;Go Ahead Eagles;Willem;Willem;.;.;.;.;Easy;Logo Quiz;TRUE;logo20_zrzvub;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684516/Questions/Logo%20Quiz/Easy/logo20_zrzvub.png
Which team's logo is this?;AEK Larnakas;Omonia;AEK Larnakas;.;.;.;.;Medium;Logo Quiz;TRUE;logo1_vvcan8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684973/Questions/Logo%20Quiz/Medium/logo1_vvcan8.png
Which team's logo is this?;Girona;Almeria;Almeria;.;.;.;.;Medium;Logo Quiz;TRUE;logo2_sogqvp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684976/Questions/Logo%20Quiz/Medium/logo2_sogqvp.png
Which team's logo is this?;Angers;Newcastle United;Angers;.;.;.;.;Medium;Logo Quiz;TRUE;logo3_uajwhg;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684975/Questions/Logo%20Quiz/Medium/logo3_uajwhg.png
Which team's logo is this?;Bristol Rovers;Backburn;Backburn;.;.;.;.;Medium;Logo Quiz;TRUE;logo4_j26eef;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684976/Questions/Logo%20Quiz/Medium/logo4_j26eef.png
Which team's logo is this?;Cagliari;Catania;Cagliari;.;.;.;.;Medium;Logo Quiz;TRUE;logo5_w173d0;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684978/Questions/Logo%20Quiz/Medium/logo5_w173d0.png
Which team's logo is this?;Real Zaragoza;Celta;Celta;.;.;.;.;Medium;Logo Quiz;TRUE;logo6_cwkcbl;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684978/Questions/Logo%20Quiz/Medium/logo6_cwkcbl.png
Which team's logo is this?;Clermont;Cagliari;Clermont;.;.;.;.;Medium;Logo Quiz;TRUE;logo7_a6h3sz;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684961/Questions/Logo%20Quiz/Medium/logo7_a6h3sz.png
Which team's logo is this?;Odense;Darmstadt;Darmstadt;.;.;.;.;Medium;Logo Quiz;TRUE;logo8_smx7wm;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684961/Questions/Logo%20Quiz/Medium/logo8_smx7wm.png
Which team's logo is this?;Flamengo;Sao Paulo;Flamengo;.;.;.;.;Medium;Logo Quiz;TRUE;logo9_uecuxs;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684961/Questions/Logo%20Quiz/Medium/logo9_uecuxs.png
Which team's logo is this?;Hellas Verona;Frosinone;Frosinone;.;.;.;.;Medium;Logo Quiz;TRUE;logo10_dofhu6;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684963/Questions/Logo%20Quiz/Medium/logo10_dofhu6.png
Which team's logo is this?;Getafe;Espanyol;Getafe;.;.;.;.;Medium;Logo Quiz;TRUE;logo11_dw8zre;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684963/Questions/Logo%20Quiz/Medium/logo11_dw8zre.png
Which team's logo is this?;Twente;Ipswich;Ipswich;.;.;.;.;Medium;Logo Quiz;TRUE;logo12_yuv0zx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684965/Questions/Logo%20Quiz/Medium/logo12_yuv0zx.png
Which team's logo is this?;Kalithea;Kifisia;Kalithea;.;.;.;.;Medium;Logo Quiz;TRUE;logo13_uyeq7z;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684965/Questions/Logo%20Quiz/Medium/logo13_uyeq7z.png
Which team's logo is this?;Brestois ;Lorient;Lorient;.;.;.;.;Medium;Logo Quiz;TRUE;logo14_wgsccg;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684966/Questions/Logo%20Quiz/Medium/logo14_wgsccg.png
Which team's logo is this?;Metz;Nice ;Metz;.;.;.;.;Medium;Logo Quiz;TRUE;logo15_w3ulan;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684967/Questions/Logo%20Quiz/Medium/logo15_w3ulan.png
Which team's logo is this?;Metz;Nice;Nice;.;.;.;.;Medium;Logo Quiz;TRUE;logo16_srnako;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684968/Questions/Logo%20Quiz/Medium/logo16_srnako.png
Which team's logo is this?;Rapid Wien;Werder Bremen;Rapid Wien;.;.;.;.;Medium;Logo Quiz;TRUE;logo17_aaa3kk;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684969/Questions/Logo%20Quiz/Medium/logo17_aaa3kk.png
Which team's logo is this?;Sturm Graz;Santos;Santos;.;.;.;.;Medium;Logo Quiz;TRUE;logo18_vjo1i3;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684970/Questions/Logo%20Quiz/Medium/logo18_vjo1i3.png
Which team's logo is this?;Slavia Prague;Sparta Prague;Slavia Prague;.;.;.;.;Medium;Logo Quiz;TRUE;logo19_h8ufws;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684970/Questions/Logo%20Quiz/Medium/logo19_h8ufws.png
Which team's logo is this?;Santos;Sturm Graz;Sturm Graz;.;.;.;.;Medium;Logo Quiz;TRUE;logo20_nl42rt;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684972/Questions/Logo%20Quiz/Medium/logo20_nl42rt.png
Which team's logo is this?;Venezia;Parma;Venezia;.;.;.;.;Medium;Logo Quiz;TRUE;logo21_gy3gd1;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684972/Questions/Logo%20Quiz/Medium/logo21_gy3gd1.png
Which team's logo is this?;Bari;Ascoli;Ascoli;.;.;.;.;Hard;Logo Quiz;TRUE;logo1_qvweoe;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685237/Questions/Logo%20Quiz/Hard/logo1_qvweoe.png
Which team's logo is this?;Banik Ostrava;Tigre;Banik Ostrava;.;.;.;.;Hard;Logo Quiz;TRUE;logo2_lqfoef;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685237/Questions/Logo%20Quiz/Hard/logo2_lqfoef.png
Which team's logo is this?;Cagliari;Catania;Catania;.;.;.;.;Hard;Logo Quiz;TRUE;logo3_sfuor6;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685239/Questions/Logo%20Quiz/Hard/logo3_sfuor6.png
Which team's logo is this?;Cincinati;Crestwood;Cincinati;.;.;.;.;Hard;Logo Quiz;TRUE;logo4_xk2ceu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685240/Questions/Logo%20Quiz/Hard/logo4_xk2ceu.png
Which team's logo is this?;Sporting Cristal;Colo Colo;Colo Colo;.;.;.;.;Hard;Logo Quiz;TRUE;logo5_fucgkm;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685241/Questions/Logo%20Quiz/Hard/logo5_fucgkm.png
Which team's logo is this?;Cruz Azul;Argentinos Juniors;Cruz Azul;.;.;.;.;Hard;Logo Quiz;TRUE;logo6_cuen9u;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685242/Questions/Logo%20Quiz/Hard/logo6_cuen9u.png
Which team's logo is this?;Panathinaikos;Greuther Furth;Greuther Furth;.;.;.;.;Hard;Logo Quiz;TRUE;logo7_p5kkk5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685244/Questions/Logo%20Quiz/Hard/logo7_p5kkk5.png
Which team's logo is this?;International;Corinthians;International;.;.;.;.;Hard;Logo Quiz;TRUE;logo8_osyjf5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685246/Questions/Logo%20Quiz/Hard/logo8_osyjf5.png
Which team's logo is this?;Matalist;Maribor;Maribor;.;.;.;.;Hard;Logo Quiz;TRUE;logo9_hin6kt;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685246/Questions/Logo%20Quiz/Hard/logo9_hin6kt.png
Which team's logo is this?;Maribor;Matalist;Matalist;.;.;.;.;Hard;Logo Quiz;TRUE;logo10_o0gc4a;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685249/Questions/Logo%20Quiz/Hard/logo10_o0gc4a.png
Which team's logo is this?;Odense;Darmstadt;Odense;.;.;.;.;Hard;Logo Quiz;TRUE;logo11_pkpwmg;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685247/Questions/Logo%20Quiz/Hard/logo11_pkpwmg.png
Which team's logo is this?;Bohemians Praha;Olimpija Ljubljana;Olimpija Ljubljana;.;.;.;.;Hard;Logo Quiz;TRUE;logo12_by93hk;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685186/Questions/Logo%20Quiz/Hard/logo12_by93hk.png
Which team's logo is this?;Orlando City;Anderlecht;Orlando City;.;.;.;.;Hard;Logo Quiz;TRUE;logo13_nyw6f9;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685185/Questions/Logo%20Quiz/Hard/logo13_nyw6f9.png
Which team's logo is this?;Helmond;Paris;Paris;.;.;.;.;Hard;Logo Quiz;TRUE;logo14_d8daxy;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685187/Questions/Logo%20Quiz/Hard/logo14_d8daxy.png
Which team's logo is this?;Preston;Doncaster Rovers;Preston;.;.;.;.;Hard;Logo Quiz;TRUE;logo15_dtrc1z;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685228/Questions/Logo%20Quiz/Hard/logo15_dtrc1z.png
Which team's logo is this?;Monarcas Morelia;Pumas;Pumas;.;.;.;.;Hard;Logo Quiz;TRUE;logo16_qnh4jl;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685229/Questions/Logo%20Quiz/Hard/logo16_qnh4jl.png
Which team's logo is this?;Rosario Central;Penarol;Rosario Central;.;.;.;.;Hard;Logo Quiz;TRUE;logo17_fpuzgh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685230/Questions/Logo%20Quiz/Hard/logo17_fpuzgh.png
Which team's logo is this?;Antalyaspor;Sivasspor;Sivasspor;.;.;.;.;Hard;Logo Quiz;TRUE;logo18_lytpgk;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685231/Questions/Logo%20Quiz/Hard/logo18_lytpgk.png
Which team's logo is this?;Tigre;Tijuana;Tigre;.;.;.;.;Hard;Logo Quiz;TRUE;logo19_tx5lhf;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685232/Questions/Logo%20Quiz/Hard/logo19_tx5lhf.png
Which team's logo is this?;Racing Club;Universidad;Universidad;.;.;.;.;Hard;Logo Quiz;TRUE;logo20_wzmnkb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724685236/Questions/Logo%20Quiz/Hard/logo20_wzmnkb.png
Which team plays in this stadium?;Ajax;Feyenoord;Ajax;.;.;.;.;Medium;Find The Stadium;TRUE;stadium1_kjcs0f;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687990/Questions/Find%20The%20Stadium/stadium1_kjcs0f.jpg
Which team plays in this stadium?;Kalithea Stadium;Alkazar;Alkazar;.;.;.;.;Medium;Find The Stadium;TRUE;stadium2_aqvwm3;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687990/Questions/Find%20The%20Stadium/stadium2_aqvwm3.jpg
Which team plays in this stadium?;Atalanta;Fiorentina;Atalanta;.;.;.;.;Medium;Find The Stadium;TRUE;stadium3_h3gafx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688032/Questions/Find%20The%20Stadium/stadium3_h3gafx.png
Which team plays in this stadium?;Athletic Bilbao;Atletico Madrid;Atletico Madrid;.;.;.;.;Medium;Find The Stadium;TRUE;stadium4_moaftw;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687995/Questions/Find%20The%20Stadium/stadium4_moaftw.jpg
Which team plays in this stadium?;Besiktas;Basaksehir;Besiktas;.;.;.;.;Medium;Find The Stadium;TRUE;stadium5_yvifi3;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687995/Questions/Find%20The%20Stadium/stadium5_yvifi3.png
Which team plays in this stadium?;Atletico Madrid;Athletic Bilbao;Athletic Bilbao;.;.;.;.;Medium;Find The Stadium;TRUE;stadium6_dxbqzf;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687991/Questions/Find%20The%20Stadium/stadium6_dxbqzf.jpg
Which team plays in this stadium?;Bordeaux;Lyon;Bordeaux;.;.;.;.;Medium;Find The Stadium;TRUE;stadium7_lim2sx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687995/Questions/Find%20The%20Stadium/stadium7_lim2sx.jpg
Which team plays in this stadium?;Luton;Bournemouth;Bournemouth;.;.;.;.;Medium;Find The Stadium;TRUE;stadium8_ruvy75;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687995/Questions/Find%20The%20Stadium/stadium8_ruvy75.png
Which team plays in this stadium?;Brentford;Sheffield United;Brentford;.;.;.;.;Medium;Find The Stadium;TRUE;stadium9_aa2uv5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687996/Questions/Find%20The%20Stadium/stadium9_aa2uv5.png
Which team plays in this stadium?;Chelsea;Brighton;Brighton;.;.;.;.;Medium;Find The Stadium;TRUE;stadium10_gks09t;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687995/Questions/Find%20The%20Stadium/stadium10_gks09t.png
Which team plays in this stadium?;Celtics;Rapid Wien;Celtics;.;.;.;.;Medium;Find The Stadium;TRUE;stadium11_lz7f9z;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688043/Questions/Find%20The%20Stadium/stadium11_lz7f9z.png
Which team plays in this stadium?;Hajduk;Dinamo Zagreb;Dinamo Zagreb;.;.;.;.;Medium;Find The Stadium;TRUE;stadium12_aecth8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688021/Questions/Find%20The%20Stadium/stadium12_aecth8.jpg
Which team plays in this stadium?;Fenerbahce;Real Sociedad;Fenerbahce;.;.;.;.;Medium;Find The Stadium;TRUE;stadium13_u1tvsh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688034/Questions/Find%20The%20Stadium/stadium13_u1tvsh.png
Which team plays in this stadium?;PSV;Feyenoord;Feyenoord;.;.;.;.;Medium;Find The Stadium;TRUE;stadium14_q5ovfj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688019/Questions/Find%20The%20Stadium/stadium14_q5ovfj.jpg
Which team plays in this stadium?;Fiorentina;Under;Fiorentina;.;.;.;.;Medium;Find The Stadium;TRUE;stadium15_ycdz0u;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688021/Questions/Find%20The%20Stadium/stadium15_ycdz0u.png
Which team plays in this stadium?;Shakhtar Donetsk;Galatasaray;Galatasaray;.;.;.;.;Medium;Find The Stadium;TRUE;stadium16_u5b9iw;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688023/Questions/Find%20The%20Stadium/stadium16_u5b9iw.png
Which team plays in this stadium?;Genoa;Torino;Genoa;.;.;.;.;Medium;Find The Stadium;TRUE;stadium17_j5lcyb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688036/Questions/Find%20The%20Stadium/stadium17_j5lcyb.jpg
Which team plays in this stadium?;Roma;Herta;Herta;.;.;.;.;Medium;Find The Stadium;TRUE;stadium18_kqxbrc;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688020/Questions/Find%20The%20Stadium/stadium18_kqxbrc.jpg
Which team plays in this stadium?;Juventus;Besiktas;Juventus;.;.;.;.;Medium;Find The Stadium;TRUE;stadium19_wqwkvr;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688022/Questions/Find%20The%20Stadium/stadium19_wqwkvr.jpg
Which team plays in this stadium?;Bordeaux;Marseille;Marseille;.;.;.;.;Medium;Find The Stadium;TRUE;stadium20_r7rkoi;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724688022/Questions/Find%20The%20Stadium/stadium20_r7rkoi.webp
Which team plays in this stadium?;Monaco;Red Star;Monaco;.;.;.;.;Medium;Find The Stadium;TRUE;stadium21_rpmzsd;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687989/Questions/Find%20The%20Stadium/stadium21_rpmzsd.png
Which team plays in this stadium?;Old Trafford;Nottingham;Nottingham;.;.;.;.;Medium;Find The Stadium;TRUE;stadium22_dwlrfz;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687988/Questions/Find%20The%20Stadium/stadium22_dwlrfz.png
Which team plays in this stadium?;Partizan;PAOK;Partizan;.;.;.;.;Medium;Find The Stadium;TRUE;stadium23_xmytkc;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724687985/Questions/Find%20The%20Stadium/stadium23_xmytkc.webp
